"","x"
"1",5.56068163101553
"2",5.46336340513061
"3",5.55352645994787
"4",5.57158147510602
"5",5.55667047306124
"6",5.55131527822026
"7",5.55123203828217
"8",5.58585015905063
"9",5.58850502905136
"10",5.59500690413748
"11",5.62186380157699
"12",5.6073014719531
"13",5.63858521393698
"14",5.64615479222107
"15",5.66092155409697
"16",5.65105757326212
"17",5.70600863235388
"18",5.7285548484693
"19",5.7206380423378
"20",5.73460803418753
"21",5.71010623920805
"22",5.72928614940723
"23",5.74933687056403
"24",5.74212751379201
"25",5.74636925936302
"26",5.74618039155844
"27",5.76624234850096
"28",5.76904356829172
"29",5.79167763197269
"30",5.80315162247387
"31",5.8148781978107
"32",5.80011853985525
"33",5.80843932937585
"34",5.80949838828761
"35",5.81974684892401
"36",5.81676312226887
"37",5.80879513623037
"38",5.82134218322808
"39",5.81902852492746
"40",5.82170313593777
"41",5.80912796207387
"42",5.82170154805766
"43",5.83078775508794
"44",5.82415518827461
"45",5.83156220326129
"46",5.83820866570179
"47",5.82532032878752
"48",5.82902023819932
"49",5.83542227224809
"50",5.83214173520209
"51",5.8358313268448
"52",5.82710493799509
"53",5.82710188451543
"54",5.82497746525103
"55",5.82856143330066
"56",5.82552550863923
"57",5.82080450326116
"58",5.82415970036328
"59",5.82306814303635
"60",5.82476155277154
"61",5.8105772305429
"62",5.81385380389231
"63",5.80996641436681
"64",5.81419816505754
"65",5.81459902962684
"66",5.79614826491393
"67",5.80528417829344
"68",5.81643082969193
"69",5.81441902315786
"70",5.82386948845645
"71",5.81826327133262
"72",5.82147887319677
"73",5.81587338073333
"74",5.81690285733505
"75",5.81247242253754
"76",5.81789528776633
"77",5.82264807772477
"78",5.80860465476608
"79",5.80850087548665
"80",5.81121888121407
"81",5.81237344762309
"82",5.80138380984499
"83",5.80276992308834
"84",5.80618018527176
"85",5.7915030898623
"86",5.7912358632268
"87",5.80651193705821
"88",5.81119843390382
"89",5.80780786429786
"90",5.81286152590719
"91",5.80814990578862
"92",5.81206977662763
"93",5.81599279620452
"94",5.81237551003626
"95",5.82560330351849
"96",5.82165778149671
"97",5.82020933033753
"98",5.83655547487339
"99",5.83078880342687
"100",5.82739899767448
"101",5.83735968029107
"102",5.83368624167098
"103",5.82489462911975
"104",5.82779513808217
"105",5.8355147298261
"106",5.82296421162158
"107",5.83616477688969
"108",5.83081304714743
"109",5.83314249030144
"110",5.84203614935032
"111",5.8313453864359
"112",5.81725675139542
"113",5.82690370512276
"114",5.8221374254192
"115",5.82609566689803
"116",5.82464649476549
"117",5.82591370287383
"118",5.81197783960638
"119",5.81167521549931
"120",5.80443615083618
"121",5.80440149444336
"122",5.78862484123037
"123",5.7896977797395
"124",5.79136752817996
"125",5.79890836037663
"126",5.79167034194835
"127",5.79046417749226
"128",5.79378520247013
"129",5.79789038658466
